ISIN,Name,Currency,StartDate,EndDate,EODHD
NL0000388619,UNILEVER NV,EUR,9/30/2020,12/29/2020,UNA.AS
FI0009000681,NOKIA,EUR,9/30/2020,3/31/2021,NOKIA.HE
FR0010208488,ENGIE,EUR,9/30/2020,9/30/2021,ENGI.PA
FR0000127771,VIVENDI,EUR,9/30/2020,9/30/2021,VIV.PA
ES0109067019,AMADEUS IT GROUP,EUR,9/30/2020,9/30/2021,AMS.MC
NL0015000IY2,UMG,EUR,9/30/2021,12/31/2021,UMG.AS
NL0000009538,PHILIPS,EUR,9/30/2020,9/30/2022,PHIA.AS
FI0009013403,KONE B,EUR,9/30/2020,9/30/2022,KNEBV.HE
IE00BZ12WP82,LINDE,EUR,9/30/2020,3/31/2023,LIN.XETRA
DE000A1ML7J1,Vonovia SE,EUR,9/30/2020,9/29/2023,VNA.XETRA
IE0001827041,CRH,EUR,9/30/2020,9/29/2023,CRH.LSE
IE00BWT6H894,FLUTTER ENTERTAINMENT,EUR,12/29/2020,12/29/2023,FLTR.LSE
DE0007164600,SAP,EUR,9/30/2020,,SAP.XETRA
NL0010273215,ASML HLDG,EUR,9/30/2020,,ASML.AS
FR0000121014,LVMH MOET HENNESSY,EUR,9/30/2020,,MC.PA
FR0000120578,SANOFI,EUR,9/30/2020,,SAN.PA
DE0007236101,SIEMENS,EUR,9/30/2020,,SIE.XETRA
FR0000120271,TOTALENERGIES,EUR,9/30/2020,,TTE.PA
DE0008404005,ALLIANZ,EUR,9/30/2020,,ALV.XETRA
FR0000120321,L'OREAL,EUR,9/30/2020,,OR.PA
FR0000120073,AIR LIQUIDE,EUR,9/30/2020,,AI.PA
ES0144580Y14,IBERDROLA,EUR,9/30/2020,,IBE.MC
FR0000121972,SCHNEIDER ELECTRIC,EUR,9/30/2020,,SU.PA
IT0003128367,ENEL,EUR,9/30/2020,,ENL.XETRA
DE000BAY0017,BAYER,EUR,9/30/2020,,BAYN.XETRA
DE000A1EWWW0,ADIDAS,EUR,9/30/2020,,ADS.XETRA
DE000BASF111,BASF,EUR,9/30/2020,,BAS.XETRA
DE0005557508,DEUTSCHE TELEKOM,EUR,9/30/2020,,DTE.XETRA
NL0012969182,ADYEN,EUR,9/30/2020,,ADYEN.AS
FR0000121485,Kering,EUR,9/30/2020,,KER.PA
FR0000125486,VINCI,EUR,9/30/2020,,DG.PA
BE0974293251,ANHEUSER-BUSCH INBEV,EUR,9/30/2020,,ABI.BR
DE0007100000,MERCEDES-BENZ GROUP,EUR,9/30/2020,,MBG.XETRA
DE0005552004,DEUTSCHE POST,EUR,9/30/2020,,DHL.XETRA
NL0000235190,AIRBUS,EUR,9/30/2020,,AIR.PA
FR0000120644,DANONE,EUR,9/30/2020,,BN.PA
FR0000131104,BNP PARIBAS,EUR,9/30/2020,,BNP.PA
NL0013654783,Prosus,EUR,9/30/2020,,PRX.AS
FR0000121667,ESSILORLUXOTTICA,EUR,9/30/2020,,EL.PA
FR0000120628,AXA,EUR,9/30/2020,,CS.PA
DE0008430026,MUENCHENER RUECK,EUR,9/30/2020,,MUV2.XETRA
FR0000073272,SAFRAN,EUR,9/30/2020,,SAF.PA
IT0000072618,INTESA SANPAOLO,EUR,9/30/2020,,IES.XETRA
DE0005810055,DEUTSCHE BOERSE,EUR,9/30/2020,,DB1.XETRA
NL0011794037,AHOLD DELHAIZE,EUR,9/30/2020,,AD.AS
FR0000120693,PERNOD RICARD,EUR,9/30/2020,,RI.PA
ES0113900J37,BCO SANTANDER,EUR,9/30/2020,,SAN.MC
ES0148396007,Industria de Diseno Textil SA,EUR,9/30/2020,,ITX.MC
DE0007664039,VOLKSWAGEN PREF,EUR,9/30/2020,,VOW.XETRA
NL0011821202,ING GRP,EUR,9/30/2020,,INGA.AS
DE0005190003,BMW,EUR,9/30/2020,,BMW.XETRA
IT0003132476,ENI,EUR,9/30/2020,,ENI.XETRA
DE0006231004,INFINEON TECHNOLOGIES,EUR,3/31/2021,,IFX.XETRA
NL00150001Q9,STELLANTIS,EUR,9/30/2021,,STLAP.PA
ES0113211835,BCO BILBAO VIZCAYA ARGENTARIA,EUR,9/30/2021,,BBVA.MC
FR0000052292,HERMES INTERNATIONAL,EUR,12/31/2021,,RMS.PA
FI4000297767,NORDEA BANK,EUR,9/30/2022,,NDA-FI.HE
FI0009000681,NOKIA,EUR,9/30/2022,,NOKIA.HE
IT0005239360,UNICREDIT,EUR,3/31/2023,,CRIN.XETRA
FR0000125007,SAINT GOBAIN,EUR,9/29/2023,,SGO.PA
NL0011585146,FERRARI,EUR,9/29/2023,,2FE.XETRA
NL0000395903,WOLTERS KLUWER,EUR,12/29/2023,,WKL.AS
