ISIN,Name,Currency,StartDate,EndDate,EODHD
DK0010287234,H. LUNDBECK,DKK,9/30/2020,12/31/2020,HLUN-B.CO
GB00BKDM7X41,Signature Aviation,GBP,9/30/2020,12/31/2020,BBA.LSE
FR0000125346,INGENICO,EUR,9/30/2020,12/31/2020,ING.PA
GB00B1H0DZ51,TP ICAP,GBP,9/30/2020,12/31/2020,TCAP.LSE
PLLPP0000011,LPP,PLN,9/30/2020,12/31/2020,LPP.WAR
CH0267291224,SUNRISE,CHF,9/30/2020,12/31/2020,SNRE.US
FR0000038259,EUROFINS SCIENTIFIC,EUR,9/30/2020,12/31/2020,ERF.PA
ES0184696104,MASMOVIL IBERCOM,EUR,9/30/2020,12/31/2020,MAS.MC
GB00BH3VJ782,NETWORK INTERNATIONAL HOLDINGS,GBP,9/30/2020,12/31/2020,NETW.LSE
NL0000388619,UNILEVER NV,EUR,9/30/2020,12/31/2020,UNA.AS
JE00B5TT1872,CENTAMIN,GBP,9/30/2020,12/31/2020,CEY.LSE
GB00B1ZBKY84,MONEYSUPERMARKET COM GP.,GBP,9/30/2020,12/31/2020,MONY.LSE
DE0005419105,CANCOM,EUR,9/30/2020,12/31/2020,COK.XETRA
SE0000489098,SWECO 'B',SEK,9/30/2020,12/31/2020,SWEC-B.ST
NL0010877643,FIAT CHRYSLER AUTOMOBILES,EUR,9/30/2020,3/31/2021,FCAU.US
FR0000121501,PEUGEOT,EUR,9/30/2020,3/31/2021,UG.PA
DK0060477503,TOPDANMARK,DKK,9/30/2020,3/31/2021,TOP.CO
LU1250154413,ADLER GROUP,EUR,9/30/2020,3/31/2021,ADJ.XETRA
GB0002318888,CRANSWICK,GBP,9/30/2020,3/31/2021,CWK.LSE
SE0000112385,SAAB B,SEK,9/30/2020,3/31/2021,SAABY.US
DE000A0TGJ55,VARTA AG,EUR,9/30/2020,3/31/2021,VAR1.STU
DE000A1J5RX9,TELEFONICA DEUTSCHLAND,EUR,9/30/2020,3/31/2021,O2D.XETRA
FR0000035081,ICADE,EUR,9/30/2020,3/31/2021,ICAD.PA
SE0006993770,AXFOOD,SEK,9/30/2020,3/31/2021,AXFO.ST
DE000WAF3001,SILTRONIC,EUR,12/31/2020,3/31/2021,WAF.XETRA
