Name,StartDate,EndDate,EODHD
The Walt Disney Company,6/8/2009,,DIS.US
"Nike, Inc.",9/23/2013,,NKE.US
The Coca-Cola Company,6/8/2009,,KO.US
Walmart Inc.,6/8/2009,,WMT.US
Microsoft Corporation,6/8/2009,,MSFT.US
"Cisco Systems, Inc.",6/8/2009,,CSCO.US
Visa Inc.,9/23/2013,,V.US
"Merck & Co., Inc.",6/8/2009,,MRK.US
Chevron Corporation,6/8/2009,,CVX.US
Verizon Communications Inc.,6/8/2009,,VZ.US
McDonald's Corporation,6/8/2009,,MCD.US
Caterpillar Inc.,6/8/2009,,CAT.US
UnitedHealth Group Incorporated,9/24/2012,,UNH.US
JPMorgan Chase & Co.,6/8/2009,,JPM.US
The Boeing Company,6/8/2009,,BA.US
"The Travelers Companies, Inc.",6/8/2009,,TRV.US
Johnson & Johnson,6/8/2009,,JNJ.US
Apple Inc.,3/19/2015,,AAPL.US
The Sherwin-Williams Company,11/8/2024,,SHW.US
International Business Machines Corporation,6/8/2009,,IBM.US
Amgen Inc.,8/31/2020,,AMGN.US
"Salesforce, Inc.",8/31/2020,,CRM.US
Honeywell International Inc.,8/31/2020,,HON.US
American Express Company,6/8/2009,,AXP.US
The Procter & Gamble Company,6/8/2009,,PRG.US
"The Home Depot, Inc.",6/8/2009,,HD.US
"Amazon.com, Inc.",2/26/2024,,AMZN.US
Nvidia Corporation,11/8/2024,,NVDA.US
"The Goldman Sachs Group, Inc.",9/23/2013,,GS-PD.US
3M Company,6/8/2009,,MMM.US
Intel Corporation,6/8/2009,11/8/2024,INTC.US
Dow Inc.,4/2/2019,11/8/2024,DOW.US
"Walgreens Boots Alliance, Inc.",6/26/2018,2/26/2024,WBA.US
Pfizer Inc.,6/8/2009,8/31/2020,PFE.US
Exxon Mobil Corporation,6/8/2009,8/31/2020,XOM.US
Raytheon Technologies Corporation,4/6/2020,8/31/2020,RTX.US
United Technologies Corporation,6/8/2009,4/6/2020,UTX.US
DuPont Inc.,6/8/2009,4/2/2019,DD.US
General Electric Company,6/8/2009,6/26/2018,GE.US
AT&T Inc.,6/8/2009,3/19/2015,T.US
Hewlett-Packard Company,6/8/2009,9/23/2013,HPQ.US
Bank of America Corporation,6/8/2009,9/23/2013,BAC.US
Alcoa Inc.,6/8/2009,9/23/2013,AA.US
Kraft Foods Inc.,6/8/2009,9/24/2012,KHC.US
