Ticker,Name,StartDate,EndDate,EODHD
GRMN,Garmin,,12/21/2015,GRMN.US
HSIC,Henry Schein,,12/23/2019,HSIC.US
ADBE,Adobe Inc.,,,ADBE.US
TCFCB,21st Century Fox Class B,12/22/2014,3/19/2019,FOX.US
INTU,Intuit,,,INTU.US
BIDU,Baidu,,12/19/2022,BIDU.US
JBHT,J.B. Hunt,2/7/2017,12/23/2019,JBHT.US
SIAL,Sigma-Aldrich,,7/31/2015,SIAL.US
UAL,United Airlines Holdings,12/24/2018,6/22/2020,UAL.US
YHOO,Yahoo! Inc.,,6/19/2017,YHOO.US
KLAC,KLA Corporation,12/19/2016,,KLAC.US
EXC,Exelon,11/21/2019,,EXC.US
AMD,Advanced Micro Devices,12/24/2018,,AMD.US
SWKS,Skyworks Solutions,8/3/2015,12/19/2022,SWKS.US
DELL,Dell,,10/29/2013,DELL.US
EQIX,Equinix,,3/23/2015,EQIX.US
CSGP,CoStar Group,12/23/2019,7/20/2020,CSGP.US
CSGP,CoStar Group,12/19/2022,,CSGP.US
CA,CA Inc.,,11/5/2018,CA.US
BATRA,Atlanta Braves Holdings Inc Series A,4/18/2016,6/20/2016,BATRA.US
FOX,Fox Corporation Class B,3/19/2019,12/20/2021,FOX.US
GOOGL,Alphabet Inc Class A,,,GOOGL.US
ASML,ASML Holding,12/18/2017,,ASML.US
XRAY,Dentsply Sirona,6/20/2016,11/19/2018,XRAY.US
SHPG,Shire PLC,10/19/2016,12/24/2018,SHPG.US
LIFE,Life Technologies,,8/22/2013,LIFE_old.US
DTV,DirecTV,,7/24/2015,DTV_old.US
WBA,Walgreens Boots Alliance,3/23/2015,7/22/2024,WBA.US
VMED,Virgin Media,,6/5/2013,VMED.US
SMCI,Supermicro,7/22/2024,12/23/2024,SMCI.US
CCEP,Coca-Cola Europacific Partners,12/18/2023,,CCEP.US
CTAS,Cintas,12/19/2016,,CTAS.US
ADP,Automatic Data Processing,,,ADP.US
SPLS,Staples,,12/21/2015,SPLS.US
AAPL,Apple Inc.,,,AAPL.US
ARM,Arm Holdings,6/24/2024,,ARM.US
FANG,Diamondback Energy,12/19/2022,,FANG.US
