ISIN,Name,Currency,StartDate,EndDate
NL0000388619,UNILEVER NV,EUR,2020-09-30,2020-12-29
FI0009000681,NOKIA,EUR,2020-09-30,2021-03-31
FR0010208488,ENGIE,EUR,2020-09-30,2021-09-30
FR0000127771,VIVENDI,EUR,2020-09-30,2021-09-30
ES0109067019,AMADEUS IT GROUP,EUR,2020-09-30,2021-09-30
NL0015000IY2,UMG,EUR,2021-09-30,2021-12-31
NL0000009538,PHILIPS,EUR,2020-09-30,2022-09-30
FI0009013403,KONE B,EUR,2020-09-30,2022-09-30
IE00BZ12WP82,LINDE,EUR,2020-09-30,2023-03-31
DE000A1ML7J1,Vonovia SE,EUR,2020-09-30,2023-09-29
IE0001827041,CRH,EUR,2020-09-30,2023-09-29
IE00BWT6H894,FLUTTER ENTERTAINMENT,EUR,2020-12-29,2023-12-29
DE0007164600,SAP,EUR,2020-09-30,
NL0010273215,ASML HLDG,EUR,2020-09-30,
FR0000121014,LVMH MOET HENNESSY,EUR,2020-09-30,
FR0000120578,SANOFI,EUR,2020-09-30,
DE0007236101,SIEMENS,EUR,2020-09-30,
FR0000120271,TOTALENERGIES,EUR,2020-09-30,
DE0008404005,ALLIANZ,EUR,2020-09-30,
FR0000120321,L'OREAL,EUR,2020-09-30,
FR0000120073,AIR LIQUIDE,EUR,2020-09-30,
ES0144580Y14,IBERDROLA,EUR,2020-09-30,
FR0000121972,SCHNEIDER ELECTRIC,EUR,2020-09-30,
IT0003128367,ENEL,EUR,2020-09-30,
DE000BAY0017,BAYER,EUR,2020-09-30,
DE000A1EWWW0,ADIDAS,EUR,2020-09-30,
DE000BASF111,BASF,EUR,2020-09-30,
DE0005557508,DEUTSCHE TELEKOM,EUR,2020-09-30,
NL0012969182,ADYEN,EUR,2020-09-30,
FR0000121485,Kering,EUR,2020-09-30,
FR0000125486,VINCI,EUR,2020-09-30,
BE0974293251,ANHEUSER-BUSCH INBEV,EUR,2020-09-30,
DE0007100000,MERCEDES-BENZ GROUP,EUR,2020-09-30,
DE0005552004,DEUTSCHE POST,EUR,2020-09-30,
NL0000235190,AIRBUS,EUR,2020-09-30,
FR0000120644,DANONE,EUR,2020-09-30,
FR0000131104,BNP PARIBAS,EUR,2020-09-30,
NL0013654783,Prosus,EUR,2020-09-30,
FR0000121667,ESSILORLUXOTTICA,EUR,2020-09-30,
FR0000120628,AXA,EUR,2020-09-30,
DE0008430026,MUENCHENER RUECK,EUR,2020-09-30,
FR0000073272,SAFRAN,EUR,2020-09-30,
IT0000072618,INTESA SANPAOLO,EUR,2020-09-30,
DE0005810055,DEUTSCHE BOERSE,EUR,2020-09-30,
NL0011794037,AHOLD DELHAIZE,EUR,2020-09-30,
FR0000120693,PERNOD RICARD,EUR,2020-09-30,
ES0113900J37,BCO SANTANDER,EUR,2020-09-30,
ES0148396007,Industria de Diseno Textil SA,EUR,2020-09-30,
DE0007664039,VOLKSWAGEN PREF,EUR,2020-09-30,
NL0011821202,ING GRP,EUR,2020-09-30,
DE0005190003,BMW,EUR,2020-09-30,
IT0003132476,ENI,EUR,2020-09-30,
DE0006231004,INFINEON TECHNOLOGIES,EUR,2021-03-31,
NL00150001Q9,STELLANTIS,EUR,2021-09-30,
ES0113211835,BCO BILBAO VIZCAYA ARGENTARIA,EUR,2021-09-30,
FR0000052292,HERMES INTERNATIONAL,EUR,2021-12-31,
FI4000297767,NORDEA BANK,EUR,2022-09-30,
FI0009000681,NOKIA,EUR,2022-09-30,
IT0005239360,UNICREDIT,EUR,2023-03-31,
FR0000125007,SAINT GOBAIN,EUR,2023-09-29,
NL0011585146,FERRARI,EUR,2023-09-29,
NL0000395903,WOLTERS KLUWER,EUR,2023-12-29,
