Code,Name,StartDate,EndDate,IsActiveNow,IsDelisted,EODHD
A,Agilent Technologies Inc,2000-06-05,,1,0,A.US
AAL,American Airlines Group,2015-03-23,2024-09-23,0,0,AAL.US
AAP,Advance Auto Parts Inc,2015-07-09,2023-08-25,0,0,AAP.US
AAPL,Apple Inc,1982-11-30,,1,0,AAPL.US
ABBV,AbbVie Inc,2013-01-02,,1,0,ABBV.US
ABMD,ABIOMED Inc,2018-05-31,2022-12-22,0,1,ABMD.US
ABNB,Airbnb Inc,2023-09-18,,1,0,ABNB.US
ABT,Abbott Laboratories,1957-03-04,,1,0,ABT.US
ACGL,Arch Capital Group Ltd,2022-11-01,,1,0,ACGL.US
ACN,Accenture plc,2011-07-05,,1,0,ACN.US
ADBE,Adobe Systems Incorporated,1997-05-05,,1,0,ADBE.US
ADI,Analog Devices Inc,1999-10-12,,1,0,ADI.US
ADM,Archer-Daniels-Midland Company,1957-03-04,,1,0,ADM.US
ADP,Automatic Data Processing Inc,1981-03-31,,1,0,ADP.US
ADSK,Autodesk Inc,1989-12-01,,1,0,ADSK.US
AEE,Ameren Corp,1991-09-19,,1,0,AEE.US
AEP,American Electric Power Co Inc,1957-03-04,,1,0,AEP.US
AES,The AES Corporation,1998-10-02,,1,0,AES.US
AET,Aetna Inc,,2018-12-03,0,1,
AFL,Aflac Incorporated,1999-05-28,,1,0,AFL.US
AGN,Allergan plc,2016-12-19,,1,1,AGN.US
AIG,American International Group Inc,1980-03-31,,1,0,AIG.US
AIRC,Apartment Income REIT Corp,2020-12-15,2020-12-21,0,1,AIRC.US
AIV,Apartment Investment and Management Co,,2020-12-21,0,0,AIV.US
AIZ,Assurant Inc,2007-04-10,,1,0,AIZ.US
AJG,Arthur J Gallagher & Co,2016-05-31,,1,0,AJG.US
AKAM,Akamai Technologies Inc,2007-07-12,,1,0,AKAM.US
ALB,Albemarle Corp,2016-07-01,,1,0,ALB.US
ALGN,Align Technology Inc,2017-06-19,,1,0,ALGN.US
ALK,Alaska Air Group Inc,2016-05-13,2023-12-18,0,0,ALK.US
ALL,The Allstate Corporation,1995-07-13,,1,0,ALL.US
ALLE,Allegion PLC,2013-12-02,,1,0,ALLE.US
ALXN,Alexion Pharmaceuticals Inc,2012-05-25,2021-07-21,0,1,ALXN.US
AMAT,Applied Materials Inc,1995-03-16,,1,0,AMAT.US
AMCR,Amcor PLC,2019-06-07,,1,0,AMCR.US
AMD,Advanced Micro Devices Inc,2017-03-20,,1,0,AMD.US
AME,Ametek Inc,2013-09-23,,1,0,AME.US
AMG,Affiliated Managers Group Inc,2014-07-01,2019-12-23,0,0,AMG.US
AMGN,Amgen Inc,1992-01-02,,1,0,AMGN.US
AMP,Ameriprise Financial Inc,2005-10-03,,1,0,AMP.US
AMT,American Tower Corp,2007-11-19,,1,0,AMT.US
AMTM,Amentum Holdings Inc.,2024-09-30,2024-12-23,0,0,AMTM.US
AMZN,Amazon.com Inc,2005-11-18,,1,0,AMZN.US
AN,AutoNation Inc,,2017-08-08,0,0,AN.US
ANDV,Andeavor,,2018-10-01,0,1,
ANET,Arista Networks,2018-08-28,,1,0,ANET.US
ANSS,ANSYS Inc,2017-06-19,,1,0,ANSS.US
AON,Aon PLC,1996-04-23,,1,0,AON.US
AOS,Smith AO Corporation,2017-07-26,,1,0,AOS.US
APA,APA Corporation,1997-07-28,,1,0,APA.US
APC,Anadarko Petroleum Corporation,,2019-08-09,0,1,
APD,Air Products and Chemicals Inc,1985-04-30,,1,0,APD.US
APH,Amphenol Corporation,2008-09-30,,1,0,APH.US
APO,Apollo Global Management LLC Class A,2024-12-23,,1,0,APO.US
APTV,Aptiv PLC,2012-12-24,,1,0,APTV.US
ARE,Alexandria Real Estate Equities Inc,2017-03-20,,1,0,ARE.US
ARNC,Arconic Corporation,2020-04-01,2020-04-06,0,1,ARNC.US
ATO,Atmos Energy Corporation,2019-02-15,,1,0,ATO.US
ATVI,Activision Blizzard Inc,2015-08-31,2023-10-18,0,1,
AVB,AvalonBay Communities Inc,2007-01-10,,1,0,AVB.US
AVGO,Broadcom Inc,2014-05-08,,1,0,AVGO.US
AVY,Avery Dennison Corp,1987-12-31,,1,0,AVY.US
AWK,American Water Works,2016-03-04,,1,0,AWK.US
AXON,Axon Enterprise Inc.,2023-05-04,,1,0,AXON.US
AXP,American Express Company,1976-06-30,,1,0,AXP.US
AYI,Acuity Brands Inc,2016-05-03,2018-06-18,0,0,AYI.US
AZO,AutoZone Inc,1997-01-02,,1,0,AZO.US
BA,The Boeing Company,1957-03-04,,1,0,BA.US
BAC,Bank of America Corp,1976-06-30,,1,0,BAC.US
BALL,Ball Corporation,1984-10-31,,1,0,BALL.US
BAX,Baxter International Inc,1972-09-30,,1,0,BAX.US
BBBY,Bed Bath & Beyond Inc,,2017-07-26,0,1,BBBY.US
BBWI,Bath & Body Works Inc.,1983-09-30,2024-10-01,0,0,BBWI.US
BBY,Best Buy Co. Inc,1999-06-29,,1,0,BBY.US
BCR,C.R. Bard Inc,,2018-01-03,0,1,
BDX,Becton Dickinson and Company,1972-09-30,,1,0,BDX.US
BEN,Franklin Resources Inc,1998-04-30,,1,0,BEN.US
BF-B,Brown-Forman Corporation,1982-10-31,,1,0,BF-B.US
BFH,Bread Financial Holdings Inc,2013-12-23,2020-06-22,0,0,BFH.US
BG,Bunge Limited,2023-03-15,,1,0,BG.US
BHF,Brighthouse Financial Inc,2017-08-07,2019-04-03,0,0,BHF.US
BIIB,Biogen Inc,2003-11-13,,1,0,BIIB.US
BIO,Bio-Rad Laboratories Inc,2020-06-22,2024-09-23,0,0,BIO.US
BIVV,Bioverativ Inc,2017-02-02,2017-02-03,0,1,BIVV.US
BK,The Bank of New York Mellon Corporation,1995-03-31,,1,0,BK.US
BKNG,Booking Holdings Inc,2009-11-06,,1,0,BKNG.US
BKR,Baker Hughes Co,2017-07-07,,1,0,BKR.US
BLDR,Builders FirstSource Inc,2023-12-18,,1,0,BLDR.US
BLK,BlackRock Inc,2011-04-01,,1,0,BLK.US
BMY,Bristol-Myers Squibb Company,1957-03-04,,1,0,BMY.US
BR,Broadridge Financial Solutions Inc,2018-06-18,,1,0,BR.US
BRK-B,Berkshire Hathaway Inc,2010-02-16,,1,0,BRK-B.US
BRO,Brown & Brown Inc,2021-09-20,,1,0,BRO.US
BSX,Boston Scientific Corp,1995-02-24,,1,0,BSX.US
BWA,BorgWarner Inc,2011-12-16,2025-03-24,0,0,BWA.US
BX,Blackstone Group Inc,2023-09-18,,1,0,BX.US
BXP,Boston Properties Inc,2006-04-03,,1,0,BXP.US
C,Citigroup Inc,1988-05-31,,1,0,C.US
CA,Xtrackers California Municipal Bonds ETF,,2018-11-06,0,0,
CAG,ConAgra Foods Inc,1983-08-31,,1,0,CAG.US
CAH,Cardinal Health Inc,1997-05-27,,1,0,CAH.US
CARR,Carrier Global Corp,2020-04-03,,1,0,CARR.US
CARS,Cars.com Inc,2017-06-01,2017-06-02,0,0,CARS.US
CAT,Caterpillar Inc,1957-03-04,,1,0,CAT.US
CB,Chubb Ltd,2010-07-14,,1,0,CB.US
CBOE,Cboe Global Markets Inc,2017-03-01,,1,0,CBOE.US
CBRE,CBRE Group Inc Class A,2006-11-10,,1,0,CBRE.US
CCI,Crown Castle,1997-06-17,,1,0,CCI.US
CCL,Carnival Corporation,1998-12-11,,1,0,CCL.US
CDNS,Cadence Design Systems Inc,2017-09-18,,1,0,CDNS.US
CDW,CDW Corp,2019-09-23,,1,0,CDW.US
CE,Celanese Corporation,2018-12-24,2025-03-24,0,0,CE.US
CEG,Constellation Energy Corp,2022-02-02,,1,0,CEG.US
CELG,Celgene Corporation,,2019-11-21,0,1,
CERN,Cerner Corp,2010-04-29,2022-06-08,0,1,CERN.US
CF,CF Industries Holdings Inc,2008-08-27,,1,0,CF.US
CFG,"Citizens Financial Group, Inc.",2016-02-01,,1,0,CFG.US
CHD,Church & Dwight Company Inc,2015-12-29,,1,0,CHD.US
CHK,Chesapeake Energy Corporation,2025-03-24,,1,1,CHK.US
CHRW,CH Robinson Worldwide Inc,2007-03-02,,1,0,CHRW.US
CHTR,Charter Communications Inc,2016-09-08,,1,0,CHTR.US
CHX,ChampionX Corporation,2018-05-09,2018-05-10,0,0,CHX.US
CI,Cigna Corp,1976-06-30,,1,0,CI.US
CINF,Cincinnati Financial Corporation,1997-12-18,,1,0,CINF.US
CL,Colgate-Palmolive Company,1957-03-04,,1,0,CL.US
CLX,The Clorox Company,1969-03-31,,1,0,CLX.US
CMA,Comerica Inc,1995-12-01,2024-06-24,0,0,CMA.US
CMCSA,Comcast Corp,2002-11-19,,1,0,CMCSA.US
CME,CME Group Inc,2006-08-11,,1,0,CME.US
CMG,Chipotle Mexican Grill Inc,2011-04-27,,1,0,CMG.US
CMI,Cummins Inc,1965-03-31,,1,0,CMI.US
CMS,CMS Energy Corporation,1957-03-04,,1,0,CMS.US
CNC,Centene Corp,2016-03-30,,1,0,CNC.US
CNDT,Conduent Inc,2017-01-03,2017-01-04,0,0,CNDT.US
CNP,CenterPoint Energy Inc,1985-07-31,,1,0,CNP.US
COF,Capital One Financial Corporation,1998-07-01,,1,0,COF.US
COL,Rockwell Collins Inc,,2018-12-03,0,1,
COO,"The Cooper Companies, Inc",2016-09-23,,1,0,COO.US
COP,ConocoPhillips,1957-03-04,,1,0,COP.US
COR,Cencora Inc.,2001-08-30,,1,0,COR.US
COST,Costco Wholesale Corp,1993-10-01,,1,0,COST.US
COTY,Coty Inc,2016-10-03,2020-09-21,0,0,COTY.US
CPAY,Corpay Inc,2018-06-20,,1,0,CPAY.US
CPB,Campbell Soup Company Common Stock,1957-03-04,,1,0,CPB.US
CPRI,Capri Holdings Ltd,2013-11-13,2020-05-12,0,0,CPRI.US
CPRT,Copart Inc,2018-07-02,,1,0,CPRT.US
CPT,Camden Property Trust,2022-04-04,,1,0,CPT.US
CRL,Charles River Laboratories,2021-05-14,,1,0,CRL.US
